,name,x0,x1,x2,x3,class
0,0.jpg,0,0,346,500,2
1,0.jpg,2056,0,2440,500,2
2,1.jpg,1682,426,1708,457,1
3,1.jpg,1425,268,1505,343,1
4,1.jpg,0,0,348,500,2
5,1.jpg,2054,0,2447,500,2
6,10.jpg,1993,91,2033,147,1
7,10.jpg,2005,0,2040,35,1
8,10.jpg,0,0,338,500,2
9,10.jpg,2042,0,2446,500,2
10,100.jpg,0,0,349,500,2
11,100.jpg,2055,0,2447,500,2
12,101.jpg,1870,466,1904,492,1
13,101.jpg,1852,0,1884,24,1
14,101.jpg,1774,477,1807,500,1
15,101.jpg,1984,0,2013,25,1
16,101.jpg,1841,461,1865,488,1
17,101.jpg,1583,165,1611,198,1
18,101.jpg,1725,418,1757,448,1
19,101.jpg,1698,155,1732,186,1
20,101.jpg,1816,230,1844,260,1
21,101.jpg,1944,422,1973,450,1
22,101.jpg,1995,465,2033,494,1
23,101.jpg,1795,80,1829,112,1
24,101.jpg,2016,81,2043,111,1
25,101.jpg,1995,168,2022,197,1
26,101.jpg,1741,1,1770,33,1
27,101.jpg,1650,453,1682,483,1
28,101.jpg,1859,164,1896,192,1
29,101.jpg,1559,393,1589,427,1
30,101.jpg,2015,247,2043,278,1
31,101.jpg,1866,283,1895,316,1
32,101.jpg,1902,371,1929,398,1
33,101.jpg,1774,223,1799,251,1
34,101.jpg,1922,62,1950,93,1
35,101.jpg,1971,312,2002,343,1
36,101.jpg,2010,368,2037,400,1
37,101.jpg,1787,351,1815,384,1
38,101.jpg,1843,370,1872,401,1
39,101.jpg,1720,300,1757,330,1
40,101.jpg,1643,308,1677,346,1
41,101.jpg,1920,235,1949,268,1
42,101.jpg,0,0,347,500,2
43,101.jpg,2053,0,2447,500,2
44,102.jpg,2016,303,2042,335,1
45,102.jpg,0,0,348,500,2
46,102.jpg,2053,0,2446,500,2
47,103.jpg,2023,35,2052,66,1
48,103.jpg,2010,394,2038,424,1
49,103.jpg,2020,175,2049,208,1
50,103.jpg,0,0,348,500,2
51,103.jpg,2058,0,2440,500,2
52,104.jpg,0,0,347,500,2
53,104.jpg,2053,0,2448,500,2
54,105.jpg,2021,83,2049,122,1
55,105.jpg,0,0,349,500,2
56,105.jpg,2053,0,2447,500,2
57,106.jpg,1957,264,1990,299,1
58,106.jpg,2020,157,2049,186,1
59,106.jpg,0,0,349,500,2
60,106.jpg,2055,0,2447,500,2
61,107.jpg,2025,44,2054,87,1
62,107.jpg,2016,200,2045,235,1
63,107.jpg,2013,372,2041,403,1
64,107.jpg,0,0,350,500,2
65,107.jpg,2058,0,2442,500,2
66,108.jpg,2024,10,2056,51,1
67,108.jpg,2021,128,2049,158,1
68,108.jpg,2014,323,2042,357,1
69,108.jpg,1956,26,1995,67,1
70,108.jpg,0,0,348,500,2
71,108.jpg,2054,0,2447,500,2
72,109.jpg,2009,449,2043,488,1
73,109.jpg,2026,21,2053,53,1
74,109.jpg,2017,155,2046,188,1
75,109.jpg,1957,316,1989,349,1
76,109.jpg,2015,267,2044,300,1
77,109.jpg,1887,381,1920,414,1
78,109.jpg,0,0,348,500,2
79,109.jpg,2057,0,2442,500,2
80,11.jpg,1911,0,1945,19,1
81,11.jpg,1696,168,1725,196,1
82,11.jpg,1721,170,1752,198,1
83,11.jpg,1596,0,1626,25,1
84,11.jpg,1945,381,1974,410,1
85,11.jpg,2008,38,2040,66,1
86,11.jpg,1817,130,1844,159,1
87,11.jpg,1707,16,1739,47,1
88,11.jpg,2006,184,2035,214,1
89,11.jpg,1876,332,1904,359,1
90,11.jpg,1743,384,1770,415,1
91,11.jpg,1952,42,1984,72,1
92,11.jpg,1634,96,1666,129,1
93,11.jpg,1995,433,2022,467,1
94,11.jpg,1990,109,2024,135,1
95,11.jpg,1985,258,2016,288,1
96,11.jpg,1952,184,1980,211,1
97,11.jpg,1790,246,1822,277,1
98,11.jpg,1817,18,1848,47,1
99,11.jpg,1708,278,1740,313,1
100,11.jpg,1920,134,1946,164,1
101,11.jpg,1753,64,1784,95,1
102,11.jpg,1926,274,1954,305,1
103,11.jpg,1874,199,1900,230,1
104,11.jpg,1875,66,1905,97,1
105,11.jpg,2002,337,2031,369,1
106,11.jpg,0,0,335,500,2
107,11.jpg,2040,0,2447,500,2
108,110.jpg,2020,154,2047,184,1
