               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11329,             0.10331,            0.042331,          0.00078157,            0.024148,           0.0005121,          7.1255e-05,             0.10745,             0.18549,            0.042908,             0.00011,             0.00011,             0.09901
                   1,             0.10641,             0.09322,            0.033218,             0.26671,            0.052557,            0.011878,           0.0023579,             0.10248,             0.19937,            0.029785,             0.00023,             0.00023,             0.09793
                   2,             0.09198,            0.080303,            0.022849,             0.87323,             0.14062,             0.12794,            0.053959,            0.093646,             0.20248,            0.019028,          0.00034999,          0.00034999,             0.09685
                   3,            0.092515,            0.071458,             0.01757,              0.6612,             0.22806,              0.1753,            0.086619,            0.098205,             0.16674,            0.012009,          0.00046996,          0.00046996,             0.09577
                   4,            0.086395,            0.060725,            0.012081,             0.62058,             0.23898,              0.1275,            0.082114,              0.1004,             0.11507,            0.010092,          0.00058992,          0.00058992,             0.09469
                   5,            0.086286,            0.050449,            0.011071,             0.76472,             0.11054,             0.16252,            0.083273,            0.093197,             0.11548,           0.0093003,          0.00070984,          0.00070984,             0.09361
                   6,            0.089308,            0.056438,           0.0097946,             0.63558,             0.35316,             0.20183,             0.10807,            0.092459,            0.098631,           0.0086269,          0.00082973,          0.00082973,             0.09253
                   7,            0.091307,            0.044119,           0.0092151,             0.80253,             0.32509,             0.30725,              0.1987,             0.09543,             0.10473,           0.0079749,          0.00094959,          0.00094959,             0.09145
                   8,            0.086822,            0.047234,            0.011451,             0.72629,             0.39841,             0.38319,             0.26339,            0.099429,             0.10155,            0.007645,           0.0010694,           0.0010694,            0.090369
                   9,            0.084612,            0.041219,            0.008669,             0.99027,             0.24564,             0.25971,             0.13354,             0.10688,             0.11764,           0.0065127,           0.0011891,           0.0011891,            0.089289
                  10,            0.084339,            0.041207,           0.0076965,             0.70425,             0.39509,             0.34494,             0.16402,            0.091084,             0.16272,           0.0065036,           0.0013088,           0.0013088,            0.088209
                  11,            0.077617,            0.047029,           0.0081147,             0.82235,             0.25512,             0.30228,             0.21607,            0.074171,             0.10868,           0.0061119,           0.0014285,           0.0014285,            0.087128
                  12,            0.072096,             0.04388,           0.0069057,             0.77568,             0.25655,             0.33998,            0.096397,            0.086743,             0.11606,           0.0055085,            0.001548,            0.001548,            0.086048
                  13,             0.07263,             0.04985,           0.0059233,             0.65764,             0.41139,             0.32055,             0.12746,            0.089684,             0.12349,           0.0055729,           0.0016675,           0.0016675,            0.084967
                  14,            0.069841,            0.046425,           0.0058189,             0.97954,             0.23864,             0.29366,             0.21689,            0.095021,             0.16147,           0.0043895,           0.0017869,           0.0017869,            0.083887
                  15,            0.072889,            0.042685,           0.0061865,             0.30514,             0.55826,             0.46397,             0.17944,            0.064094,             0.12031,           0.0038799,           0.0019062,           0.0019062,            0.082806
                  16,             0.06722,            0.046566,           0.0050415,             0.31259,             0.56743,             0.39867,             0.27874,            0.084783,              0.1289,           0.0036291,           0.0020254,           0.0020254,            0.081725
                  17,            0.064336,            0.045709,           0.0045787,             0.34892,             0.63451,             0.52204,              0.2763,            0.072789,             0.12391,           0.0032702,           0.0021445,           0.0021445,            0.080644
                  18,            0.062713,            0.042678,           0.0042307,             0.26621,              0.7762,             0.51314,             0.27597,            0.069131,             0.13103,           0.0029461,           0.0022635,           0.0022635,            0.079563
                  19,            0.063233,            0.041173,            0.004977,             0.44728,             0.70922,             0.47246,             0.28012,            0.058228,             0.11454,           0.0030172,           0.0023823,           0.0023823,            0.078482
                  20,            0.055598,             0.04295,           0.0038252,             0.40993,             0.71338,             0.53318,             0.31759,            0.057917,             0.12725,            0.002726,           0.0025011,           0.0025011,            0.077401
                  21,            0.061108,            0.050183,           0.0041363,             0.39636,             0.74411,             0.59762,             0.31064,            0.070837,             0.10652,           0.0028566,           0.0026197,           0.0026197,             0.07632
                  22,            0.057076,            0.038188,           0.0036081,              0.3172,             0.79456,             0.54419,             0.28704,            0.064904,             0.12892,             0.00245,           0.0027382,           0.0027382,            0.075238
